      Date : 30.Aug.2019                                Time : 9:44:52 AM

                            Input Data : PV
                            Controller : Proportional Control
                            Set Point  : 15.00
                                    kp : 3.00

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          42.34          11.08           2.22          97.06          15.69
          42.46          11.08           2.22          97.06          15.69
          42.59          11.18           2.24          95.88          15.29
          42.71          11.18           2.24          95.88          15.29
          42.84          11.27           2.25          94.71           14.9
          42.96          11.37           2.27          93.53          14.51
          43.09          11.37           2.27          93.53          14.51
          43.23          11.37           2.27          93.53          14.51
          43.35          11.47           2.29          92.35          14.12
          43.48          11.47           2.29          92.35          14.12
          43.60          11.57           2.31          91.18          13.73
          43.73          11.57           2.31          91.18          13.73
          43.85          11.57           2.31          91.18          13.73
          43.98          11.67           2.33          90.00          13.33
          44.10          11.67           2.33          90.00          13.33
          44.23          11.76           2.35          88.82          12.94
          44.37          11.76           2.35          88.82          12.94
          44.51          11.86           2.37          87.65          12.55
          44.63          11.86           2.37          87.65          12.55
          44.76          11.96           2.39          86.47          12.16
          44.88          11.96           2.39          86.47          12.16
          45.01          12.06           2.41          85.29          11.76
          45.13          12.16           2.43          84.12          11.37
          45.26          12.16           2.43          84.12          11.37
          45.39          12.16           2.43          84.12          11.37
          45.52          12.16           2.43          84.12          11.37
          45.64          12.25           2.45          82.94          10.98
          45.77          12.25           2.45          82.94          10.98
          45.89          12.35           2.47          81.76          10.59
          46.02          12.35           2.47          81.76          10.59
          46.14          12.35           2.47          81.76          10.59
          46.27          12.45           2.49          80.59           10.2
          46.39          12.45           2.49          80.59           10.2
          46.52          12.55           2.51          79.41            9.8
          46.64          12.55           2.51          79.41            9.8
          46.77          12.55           2.51          79.41            9.8
          46.89          12.55           2.51          79.41            9.8
          47.02          12.65           2.53          78.24           9.41
          47.14          12.65           2.53          78.24           9.41
          47.27          12.75           2.55          77.06           9.02
          47.39          12.75           2.55          77.06           9.02
          47.52          12.75           2.55          77.06           9.02
          47.64          12.75           2.55          77.06           9.02
          47.77          12.84           2.57          75.88           8.63
          47.91          12.84           2.57          75.88           8.63
          48.03          12.84           2.57          75.88           8.63
          48.16          12.94           2.59          74.71           8.24
          48.30          12.94           2.59          74.71           8.24
          48.42          12.94           2.59          74.71           8.24
          48.55          12.94           2.59          74.71           8.24
          48.67          13.04           2.61          73.53           7.84
          48.81          13.04           2.61          73.53           7.84
          48.94          13.04           2.61          73.53           7.84
          49.06          13.14           2.63          72.35           7.45
          49.20          13.14           2.63          72.35           7.45
          49.33          13.14           2.63          72.35           7.45
          49.45          13.14           2.63          72.35           7.45
          49.58          13.24           2.65          71.18           7.06
          49.70          13.24           2.65          71.18           7.06
          49.83          13.24           2.65          71.18           7.06
          49.95          13.24           2.65          71.18           7.06
          50.07          13.24           2.65          71.18           7.06
          50.20          13.33           2.67          70.00           6.67
          50.34          13.33           2.67          70.00           6.67
          50.46          13.33           2.67          70.00           6.67
          50.59          13.33           2.67          70.00           6.67
          50.71          13.43           2.69          68.82           6.27
          50.86          13.43           2.69          68.82           6.27
          50.98          13.43           2.69          68.82           6.27
          51.11          13.43           2.69          68.82           6.27
          51.23          13.43           2.69          68.82           6.27
          51.36          13.53           2.71          67.65           5.88
          51.48          13.53           2.71          67.65           5.88
          51.61          13.53           2.71          67.65           5.88
          51.73          13.53           2.71          67.65           5.88
          51.86          13.63           2.73          66.47           5.49
          51.98          13.63           2.73          66.47           5.49
          52.12          13.63           2.73          66.47           5.49
          52.25          13.63           2.73          66.47           5.49
          52.39          13.63           2.73          66.47           5.49
          52.52          13.63           2.73          66.47           5.49
          52.66          13.63           2.73          66.47           5.49
          52.80          13.73           2.75          65.29            5.1
          52.93          13.73           2.75          65.29            5.1
          53.05          13.73           2.75          65.29            5.1
          53.18          13.73           2.75          65.29            5.1
          53.30          13.73           2.75          65.29            5.1
          53.43          13.73           2.75          65.29            5.1
          53.55          13.73           2.75          65.29            5.1
          53.68          13.82           2.76          64.12           4.71
          53.80          13.82           2.76          64.12           4.71
          53.93          13.82           2.76          64.12           4.71
          54.05          13.82           2.76          64.12           4.71
          54.18          13.82           2.76          64.12           4.71
          54.30          13.82           2.76          64.12           4.71
          54.43          13.82           2.76          64.12           4.71
          54.55          13.92           2.78          62.94           4.31
          54.68          13.92           2.78          62.94           4.31
          54.80          13.92           2.78          62.94           4.31
          54.93          13.92           2.78          62.94           4.31
          55.05          13.92           2.78          62.94           4.31
          55.18          13.92           2.78          62.94           4.31
          55.30          13.92           2.78          62.94           4.31
          55.43          13.92           2.78          62.94           4.31
          55.57          14.02            2.8          61.76           3.92
          55.69          14.02            2.8          61.76           3.92
          55.82          14.02            2.8          61.76           3.92
          55.94          14.02            2.8          61.76           3.92
          56.07          14.02            2.8          61.76           3.92
          56.19          14.02            2.8          61.76           3.92
          56.32          14.02            2.8          61.76           3.92
          56.44          14.02            2.8          61.76           3.92
          56.57          14.02            2.8          61.76           3.92
          56.69          14.02            2.8          61.76           3.92
          56.82          14.02            2.8          61.76           3.92
          56.94          14.02            2.8          61.76           3.92
          57.07          14.02            2.8          61.76           3.92
          57.19          14.02            2.8          61.76           3.92
          57.32          14.12           2.82          60.59           3.53
          57.44          14.12           2.82          60.59           3.53
          57.56          14.12           2.82          60.59           3.53
          57.69          14.12           2.82          60.59           3.53
          57.81          14.12           2.82          60.59           3.53
          57.94          14.12           2.82          60.59           3.53
          58.06          14.12           2.82          60.59           3.53
          58.19          14.12           2.82          60.59           3.53
          58.31          14.12           2.82          60.59           3.53
          58.44          14.12           2.82          60.59           3.53
          58.56          14.12           2.82          60.59           3.53
          58.69          14.12           2.82          60.59           3.53
          58.81          14.12           2.82          60.59           3.53
          58.94          14.12           2.82          60.59           3.53
          59.06          14.12           2.82          60.59           3.53
          59.19          14.12           2.82          60.59           3.53
          59.31          14.12           2.82          60.59           3.53
          59.44          14.12           2.82          60.59           3.53
          59.56          14.12           2.82          60.59           3.53
          59.69          14.12           2.82          60.59           3.53
          59.81          14.12           2.82          60.59           3.53
          59.94          14.12           2.82          60.59           3.53
          60.06          14.12           2.82          60.59           3.53
          60.18          14.12           2.82          60.59           3.53
