      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          48.30           5.49            1.1         100.00          38.04
          48.42           5.49            1.1         100.00          38.04
          48.55           5.49            1.1         100.00          38.04
          48.67           5.59           1.12         100.00          37.65
          48.80           5.59           1.12         100.00          37.65
          48.92           5.69           1.14         100.00          37.25
          49.05           5.69           1.14         100.00          37.25
          49.17           5.78           1.16         100.00          36.86
          49.29           5.78           1.16         100.00          36.86
          49.42           5.78           1.16         100.00          36.86
          49.54           5.88           1.18         100.00          36.47
          49.67           5.88           1.18         100.00          36.47
          49.79           5.98            1.2         100.00          36.08
          49.92           5.98            1.2         100.00          36.08
          50.04           6.08           1.22         100.00          35.69
          50.17           6.08           1.22         100.00          35.69
          50.29           6.08           1.22         100.00          35.69
          50.42           6.18           1.24         100.00          35.29
          50.54           6.18           1.24         100.00          35.29
          50.67           6.18           1.24         100.00          35.29
          50.79           6.27           1.25         100.00           34.9
          50.92           6.27           1.25         100.00           34.9
          51.04           6.37           1.27         100.00          34.51
          51.17           6.37           1.27         100.00          34.51
          51.29           6.37           1.27         100.00          34.51
          51.42           6.47           1.29         100.00          34.12
          51.54           6.47           1.29         100.00          34.12
          51.67           6.57           1.31         100.00          33.73
          51.79           6.57           1.31         100.00          33.73
          51.91           6.67           1.33         100.00          33.33
          52.04           6.67           1.33         100.00          33.33
          52.16           6.67           1.33         100.00          33.33
          52.29           6.67           1.33         100.00          33.33
          52.41           6.76           1.35         100.00          32.94
          52.54           6.76           1.35         100.00          32.94
          52.66           6.86           1.37         100.00          32.55
          52.79           6.86           1.37         100.00          32.55
          52.91           6.86           1.37         100.00          32.55
          53.04           6.96           1.39         100.00          32.16
          53.16           6.96           1.39         100.00          32.16
          53.29           7.06           1.41         100.00          31.76
          53.41           7.06           1.41         100.00          31.76
          53.54           7.06           1.41         100.00          31.76
          53.66           7.06           1.41         100.00          31.76
          53.79           7.16           1.43         100.00          31.37
          53.91           7.16           1.43         100.00          31.37
          54.04           7.16           1.43         100.00          31.37
          54.16           7.16           1.43         100.00          31.37
          54.29           7.25           1.45         100.00          30.98
          54.41           7.25           1.45         100.00          30.98
          54.54           7.25           1.45         100.00          30.98
          54.66           7.25           1.45         100.00          30.98
          54.79           7.35           1.47         100.00          30.59
          54.91           7.35           1.47         100.00          30.59
          55.04           7.45           1.49         100.00           30.2
          55.16           7.45           1.49         100.00           30.2
          55.29           7.45           1.49         100.00           30.2
          55.41           7.55           1.51         100.00           29.8
          55.54           7.55           1.51         100.00           29.8
          55.66           7.55           1.51         100.00           29.8
          55.79           7.55           1.51         100.00           29.8
          55.91           7.65           1.53         100.00          29.41
          56.04           7.65           1.53         100.00          29.41
          56.16           7.65           1.53         100.00          29.41
          56.29           7.75           1.55         100.00          29.02
          56.41           7.75           1.55         100.00          29.02
          56.54           7.75           1.55         100.00          29.02
          56.66           7.84           1.57         100.00          28.63
          56.78           7.84           1.57         100.00          28.63
          56.91           7.84           1.57         100.00          28.63
          57.03           7.84           1.57         100.00          28.63
          57.16           7.94           1.59         100.00          28.24
          57.30           7.94           1.59         100.00          28.24
          57.42           8.04           1.61         100.00          27.84
          57.55           8.04           1.61         100.00          27.84
          57.67           8.04           1.61         100.00          27.84
          57.80           8.04           1.61         100.00          27.84
          57.92           8.14           1.63         100.00          27.45
          58.06           8.14           1.63         100.00          27.45
          58.20           8.14           1.63         100.00          27.45
          58.33           8.24           1.65         100.00          27.06
          58.47           8.24           1.65         100.00          27.06
          58.61           8.24           1.65         100.00          27.06
          58.73           8.33           1.67         100.00          26.67
          58.88           8.33           1.67         100.00          26.67
          59.01           8.33           1.67         100.00          26.67
          59.14           8.43           1.69         100.00          26.27
          59.28           8.43           1.69         100.00          26.27
          59.40           8.43           1.69         100.00          26.27
          59.54           8.53           1.71         100.00          25.88
          59.68           8.53           1.71         100.00          25.88
          59.81           8.53           1.71         100.00          25.88
          59.93           8.53           1.71         100.00          25.88
          60.07           8.63           1.73         100.00          25.49
          60.21           8.63           1.73         100.00          25.49
          60.34           8.73           1.75         100.00           25.1
          60.46           8.73           1.75         100.00           25.1
          60.59           8.73           1.75         100.00           25.1
